zone_type,rainfall_mm,week_type,population_density,month,special_event,previous_wet_tons,previous_dry_tons,wet_waste_tons,dry_waste_tons
office,95.6,normal,high,7,no,4.83,5.02,5.3,4.49
residential,54.2,normal,high,2,no,6.99,2.32,7.39,3.04
tourist_area,39.3,festival,high,1,no,10.24,8.38,10.62,7.34
residential,41.5,normal,low,12,no,3.62,2.27,4.07,2.25
residential,70.2,normal,medium,6,no,2.69,2.18,5.47,1.93
residential,116.9,normal,medium,6,no,4.21,1.83,4.55,1.32
market,59.4,normal,medium,10,yes,8.38,3.73,8.68,3.63
school,21.0,normal,high,2,no,3.32,4.75,4.1,5.47
residential,34.5,holiday,medium,1,no,6.08,2.88,5.95,3.94
office,26.6,holiday,low,10,no,2.66,1.0,1.88,1.91
market,55.4,normal,high,3,no,10.63,3.3,10.61,3.18
market,10.0,normal,high,10,no,13.15,3.4,12.74,3.27
market,25.7,normal,low,5,yes,9.21,2.94,8.47,3.1
market,67.9,normal,medium,6,no,8.27,3.74,8.33,2.76
school,35.2,normal,medium,3,no,1.38,4.12,1.66,4.29
residential,160.6,normal,medium,9,no,5.71,2.82,5.04,2.65
residential,1.3,normal,low,11,yes,6.6,2.38,6.11,2.43
office,33.8,normal,medium,5,yes,4.99,3.33,3.4,2.87
tourist_area,16.1,normal,high,2,yes,6.78,8.8,6.71,8.3
market,4.0,normal,medium,10,no,8.29,3.42,8.76,2.57
residential,67.4,normal,low,6,no,5.15,1.97,4.79,1.49
school,6.5,normal,medium,12,no,2.46,4.62,3.08,5.02
market,96.3,holiday,medium,8,no,10.5,3.06,10.29,3.54
residential,14.6,normal,high,11,no,5.19,3.0,5.4,3.32
residential,179.9,normal,medium,6,no,5.35,1.07,5.42,1.25
office,44.6,normal,low,4,no,1.52,2.24,2.3,2.98
school,96.2,holiday,low,6,no,3.05,3.44,3.02,2.86
residential,77.7,normal,high,8,no,5.4,2.9,7.7,2.32
residential,229.5,normal,medium,8,no,5.86,2.48,5.47,2.57
residential,34.8,normal,high,10,no,5.41,3.84,5.19,3.76
school,1.0,holiday,low,2,no,3.2,2.56,3.8,2.64
residential,151.2,festival,medium,8,no,8.87,2.12,8.17,2.41
residential,62.7,normal,medium,6,no,5.78,2.02,6.22,2.28
office,26.0,festival,high,2,no,5.43,6.05,4.95,6.11
residential,18.9,festival,high,1,yes,10.14,5.87,9.41,5.85
school,95.1,festival,low,6,no,3.4,3.05,3.19,2.84
residential,223.5,normal,medium,7,yes,7.23,1.71,7.83,2.24
residential,17.3,normal,low,10,no,2.35,2.54,2.21,2.19
residential,2.4,normal,medium,5,no,4.48,2.63,5.24,2.27
office,87.9,holiday,medium,10,no,4.3,3.7,4.54,3.67
office,210.8,normal,high,8,no,5.42,3.64,4.46,3.59
office,34.6,normal,high,11,no,6.24,5.18,5.24,4.38
market,18.9,normal,medium,12,yes,8.53,4.11,9.89,3.85
school,55.9,holiday,medium,9,yes,4.13,5.23,4.42,5.18
residential,46.9,holiday,high,4,no,7.99,3.38,8.08,2.82
residential,32.3,normal,high,7,no,8.59,3.68,8.62,2.97
tourist_area,15.5,holiday,low,8,no,4.44,4.48,4.12,5.1
residential,79.2,normal,medium,6,yes,5.7,2.57,6.86,2.07
residential,5.2,holiday,medium,2,no,5.61,1.9,6.2,2.19
residential,25.5,normal,low,7,no,5.13,1.49,4.93,1.11
residential,91.7,normal,low,9,yes,4.58,2.13,4.84,1.97
residential,4.4,festival,low,5,yes,10.27,2.85,8.58,2.35
school,5.2,normal,medium,2,no,1.69,3.69,1.1,3.75
market,2.4,holiday,medium,4,no,10.96,3.06,10.64,2.83
tourist_area,6.9,normal,low,3,no,1.82,3.96,2.32,4.19
office,37.7,normal,low,4,no,2.39,1.73,3.03,2.02
residential,49.7,normal,high,10,no,4.93,3.43,6.3,2.87
residential,108.3,normal,high,7,no,7.73,3.22,8.03,3.34
market,21.2,normal,medium,10,no,9.79,2.86,10.08,2.48
school,13.0,normal,medium,8,no,1.96,3.82,1.76,2.96
residential,2.2,normal,high,1,yes,6.71,4.84,7.61,4.53
school,69.3,normal,low,8,no,4.24,1.63,2.95,2.82
market,23.6,festival,low,5,no,8.9,1.66,10.46,1.21
school,40.4,festival,medium,12,no,2.69,5.24,3.09,4.93
market,86.2,normal,low,7,no,5.9,1.27,5.42,1.81
residential,14.9,holiday,medium,11,no,4.05,2.63,5.28,2.55
tourist_area,3.8,normal,high,11,no,5.63,7.89,6.3,7.77
office,45.5,normal,medium,1,no,3.49,5.11,2.94,4.06
residential,13.6,holiday,medium,2,no,4.6,2.62,4.71,2.82
office,40.0,festival,high,1,no,7.55,5.98,6.77,6.82
market,21.6,normal,low,5,no,7.48,2.24,6.15,1.56
tourist_area,153.3,holiday,low,6,no,5.24,3.75,3.66,4.02
office,71.3,normal,medium,10,no,4.59,4.08,4.78,4.08
market,218.0,festival,medium,9,yes,15.0,2.81,15.61,2.67
residential,76.5,normal,low,8,no,4.78,1.5,5.74,1.74
residential,109.7,normal,medium,7,no,5.2,0.97,6.37,1.48
market,9.3,normal,medium,12,no,8.7,4.29,9.4,3.95
school,82.4,normal,medium,5,yes,2.6,4.97,2.5,4.84
residential,18.4,normal,medium,3,yes,4.88,2.74,4.22,2.68
residential,38.5,festival,medium,9,no,7.6,2.98,7.29,3.0
office,17.0,normal,low,5,no,1.13,2.02,1.4,2.23
tourist_area,4.1,normal,medium,3,no,4.71,5.21,3.11,5.4
market,20.9,normal,low,3,no,5.0,2.43,5.15,1.57
residential,24.7,normal,high,3,yes,8.66,2.73,8.12,3.81
residential,64.7,normal,medium,6,no,4.62,3.08,4.34,2.14
residential,2.2,normal,medium,1,no,4.62,3.58,3.99,3.49
tourist_area,86.2,normal,high,11,no,6.74,5.81,6.4,6.28
residential,44.5,normal,medium,4,no,4.29,1.96,4.91,1.55
school,132.6,normal,medium,8,no,1.38,4.08,1.48,3.96
residential,13.7,holiday,high,3,yes,7.78,5.05,8.49,4.35
school,42.9,festival,high,5,no,5.47,5.8,5.69,6.42
school,19.9,normal,medium,2,yes,2.05,5.04,2.33,4.67
office,6.7,normal,low,2,yes,3.5,4.56,2.67,3.2
residential,4.0,normal,medium,11,no,3.27,2.52,3.16,3.29
residential,90.7,normal,high,7,no,7.44,1.85,8.74,2.3
residential,4.4,normal,low,10,no,5.84,1.68,5.41,2.1
tourist_area,190.8,normal,low,3,no,2.91,2.89,3.7,2.63
office,1.5,normal,high,5,no,3.92,4.07,4.08,3.27
school,17.5,normal,low,3,no,1.15,2.88,1.31,3.56
school,101.4,normal,high,6,no,3.44,3.46,3.95,3.88
school,10.7,holiday,medium,10,no,4.49,3.81,2.82,4.38
residential,25.4,festival,medium,3,no,7.03,3.33,6.51,3.55
tourist_area,52.4,normal,low,8,yes,3.75,2.32,3.63,2.76
market,46.0,normal,high,2,yes,11.58,5.79,11.61,5.43
market,12.1,holiday,medium,3,no,10.65,2.49,9.75,3.6
market,76.4,festival,medium,8,no,15.0,1.77,15.38,2.44
residential,158.4,normal,medium,8,no,6.07,1.85,6.09,2.36
residential,66.0,normal,high,1,no,7.02,3.25,7.58,2.39
office,162.2,normal,high,8,no,4.6,4.1,6.19,4.43
residential,28.1,normal,medium,10,no,5.17,2.71,4.4,1.92
school,14.7,normal,medium,2,no,2.19,3.54,2.31,4.23
residential,21.0,normal,high,12,no,5.19,4.0,5.78,4.04
market,140.7,normal,medium,7,no,10.16,2.02,10.25,2.15
residential,243.7,normal,medium,6,no,5.93,2.12,5.36,2.01
market,3.3,holiday,low,2,no,7.79,2.22,6.88,2.21
office,14.6,normal,high,5,no,3.52,4.5,4.05,3.98
residential,138.2,normal,medium,7,no,6.96,2.2,6.06,2.02
school,97.3,normal,medium,8,no,3.33,2.72,3.27,3.99
market,12.1,normal,medium,3,yes,10.45,3.18,9.95,3.94
school,15.9,festival,low,1,no,1.44,4.13,2.02,3.59
tourist_area,120.5,normal,medium,7,no,5.47,5.25,4.9,4.83
office,256.3,normal,low,5,yes,4.03,1.41,3.76,1.93
residential,20.4,holiday,medium,5,no,5.39,3.06,5.36,2.8
residential,65.3,normal,medium,7,no,6.29,1.26,6.27,1.17
residential,5.3,festival,medium,1,no,6.95,3.72,7.83,3.78
school,48.9,normal,high,8,no,4.73,4.56,4.57,4.88
residential,24.5,normal,high,12,no,6.55,3.98,6.7,3.48
market,23.6,normal,high,10,no,11.11,3.74,11.87,4.68
school,6.9,normal,low,5,no,1.02,2.94,0.6,3.46
residential,136.8,holiday,low,8,no,5.39,1.14,6.41,1.62
office,40.5,holiday,medium,10,no,5.13,2.96,3.93,2.86
residential,9.0,normal,high,10,yes,6.93,3.15,7.94,3.69
residential,12.7,normal,high,5,yes,10.53,3.9,10.28,3.91
office,139.6,holiday,high,12,no,4.11,5.69,3.84,5.92
market,80.7,festival,medium,7,yes,15.0,2.4,17.1,3.8
school,42.9,normal,medium,10,no,1.66,4.47,2.33,4.15
market,18.1,normal,medium,3,no,8.69,2.78,9.59,3.76
residential,47.3,normal,low,2,no,3.0,0.91,3.28,1.47
office,149.0,holiday,low,6,no,3.5,2.79,3.33,2.45
office,33.1,normal,high,5,no,4.98,4.86,4.48,5.61
school,215.0,normal,low,9,no,2.09,2.86,1.06,3.01
residential,84.0,holiday,low,10,yes,4.68,3.31,4.83,2.68
school,26.0,normal,low,4,no,2.0,1.57,1.83,2.09
market,8.1,normal,high,11,no,10.52,4.28,11.07,4.53
residential,15.3,normal,medium,3,yes,6.77,2.33,5.46,2.55
tourist_area,120.2,normal,medium,9,no,4.02,5.09,4.27,4.83
residential,139.4,normal,high,8,yes,9.03,3.49,9.56,3.02
tourist_area,71.2,normal,medium,6,no,5.75,5.73,5.96,4.32
market,1.6,normal,medium,1,no,8.31,2.6,7.0,2.89
residential,34.5,normal,low,10,no,5.09,1.07,5.02,1.43
market,8.7,holiday,low,12,no,7.76,2.36,7.42,2.78
office,20.8,holiday,high,11,no,6.14,6.6,5.53,5.89
office,41.2,normal,high,1,yes,4.08,5.59,2.81,5.05
office,24.8,normal,medium,12,no,3.12,4.21,3.92,3.67
school,60.5,normal,medium,6,no,2.87,3.34,3.0,3.86
school,6.2,normal,medium,3,no,2.82,4.2,1.72,3.77
office,7.4,normal,low,3,no,1.35,1.63,1.89,1.77
residential,84.6,normal,low,6,no,4.9,1.48,4.91,1.34
market,25.0,normal,low,3,no,7.57,1.7,7.71,1.57
residential,21.0,normal,medium,11,no,5.15,2.7,4.92,2.38
tourist_area,6.8,normal,high,10,no,6.06,6.87,6.13,6.3
tourist_area,43.4,normal,medium,6,no,4.16,5.67,4.2,5.69
residential,5.6,normal,low,5,no,3.81,1.49,4.3,1.85
office,124.8,normal,medium,4,no,2.31,3.17,2.22,3.73
tourist_area,50.1,normal,high,8,no,5.82,4.72,5.79,5.74
residential,60.6,festival,low,2,no,5.02,2.15,5.1,1.14
school,56.7,festival,low,12,no,3.62,4.19,2.56,4.3
tourist_area,21.5,normal,medium,11,yes,4.95,6.61,6.07,6.31
residential,130.6,normal,high,7,no,9.98,3.72,10.44,3.73
school,6.4,normal,medium,4,no,3.52,2.17,2.89,2.57
residential,35.0,normal,high,2,yes,5.97,4.73,5.64,3.92
tourist_area,43.9,normal,high,7,no,8.62,5.58,8.27,4.87
tourist_area,53.5,holiday,high,1,no,6.22,8.12,6.16,7.79
tourist_area,2.6,normal,medium,4,no,3.38,3.72,4.62,4.59
market,136.6,holiday,medium,9,no,12.2,3.62,11.41,3.46
office,3.2,normal,low,4,no,2.6,3.28,2.83,2.31
office,63.9,normal,high,12,yes,3.65,6.95,4.11,7.59
residential,10.9,holiday,medium,3,no,6.41,2.97,5.73,3.19
office,31.9,normal,low,10,no,3.91,1.87,3.42,2.47
residential,20.1,normal,medium,10,no,5.93,2.44,6.14,3.04
school,13.7,normal,medium,2,no,2.1,4.59,2.22,3.61
residential,31.1,normal,medium,3,no,3.86,2.31,4.29,1.95
residential,88.4,festival,medium,1,no,8.56,4.49,7.53,4.32
residential,1.3,normal,medium,10,no,5.24,2.71,5.87,2.25
school,203.4,festival,high,8,no,6.96,5.32,7.34,5.23
residential,28.2,festival,medium,1,no,7.39,4.28,7.06,3.84
office,49.4,holiday,medium,3,no,2.49,3.03,2.81,2.83
residential,14.5,normal,medium,3,no,3.29,2.91,4.73,2.53
residential,19.2,normal,medium,2,no,4.17,3.14,3.63,3.28
market,60.9,holiday,high,5,no,13.15,4.16,14.41,4.43
office,16.1,normal,medium,10,no,4.09,3.1,3.35,3.77
residential,22.9,normal,medium,3,no,5.37,1.97,6.2,2.63
school,0.6,normal,low,3,no,1.67,2.91,1.75,3.02
tourist_area,43.5,normal,high,8,no,6.64,6.66,7.57,6.31
school,30.8,normal,medium,4,no,4.49,3.78,3.3,3.88
residential,37.9,normal,high,4,no,7.86,2.61,6.83,2.52
residential,26.2,normal,low,3,yes,4.14,2.22,4.04,1.69
office,4.6,holiday,low,11,no,2.14,3.18,2.52,2.81
residential,17.7,normal,medium,1,no,3.39,2.83,3.58,2.58
office,61.1,festival,high,8,no,8.72,3.98,8.62,4.15
market,20.5,normal,medium,1,no,7.19,2.12,7.33,2.76
tourist_area,145.7,holiday,high,7,no,9.07,4.29,7.77,5.14
office,44.9,normal,medium,5,no,4.21,2.73,4.19,3.06
tourist_area,2.6,holiday,medium,4,no,4.63,6.06,4.52,5.95
market,66.3,normal,low,4,no,6.09,2.29,6.16,2.67
office,101.8,holiday,high,8,no,6.62,4.57,7.2,4.47
market,40.9,normal,low,11,no,7.91,2.92,8.39,3.06
market,4.5,festival,high,11,no,15.0,4.99,15.78,5.44
school,167.7,festival,high,6,no,4.64,5.73,5.64,6.16
office,8.1,normal,high,12,yes,4.82,6.46,4.38,7.14
tourist_area,17.3,normal,medium,1,no,3.36,6.64,3.51,6.26
office,0.5,holiday,medium,10,no,2.74,3.72,2.75,3.9
market,64.4,normal,high,8,no,13.43,4.61,12.39,4.07
market,2.9,holiday,low,2,no,7.54,2.84,7.34,2.46
office,56.4,normal,medium,6,no,3.69,3.34,3.79,2.97
residential,46.9,normal,low,9,no,3.28,0.2,3.21,1.23
residential,35.3,festival,medium,1,no,10.43,4.1,9.79,3.34
market,33.8,normal,low,6,no,7.3,1.49,7.08,2.37
residential,113.8,holiday,low,8,no,6.18,1.53,5.46,1.53
residential,4.5,normal,medium,10,no,3.27,1.33,4.32,3.14
residential,87.1,normal,medium,2,no,4.39,2.35,3.55,2.09
residential,81.1,normal,medium,5,no,4.58,2.6,5.54,2.54
residential,58.5,normal,low,6,no,3.17,0.96,3.41,1.05
tourist_area,28.6,normal,medium,5,yes,4.23,4.32,5.49,4.52
market,0.9,normal,low,3,no,7.39,2.46,7.63,2.76
market,80.6,normal,medium,4,no,10.97,3.41,10.61,2.62
school,78.7,normal,medium,7,no,2.36,3.0,2.13,2.83
residential,1.3,holiday,medium,4,no,7.61,3.39,6.34,3.36
tourist_area,105.2,normal,high,9,no,7.34,5.44,6.24,5.9
office,2.4,normal,medium,11,yes,3.8,4.54,4.36,3.94
residential,15.0,normal,high,12,no,6.37,3.44,6.32,3.83
market,33.3,normal,medium,10,no,10.79,1.68,9.61,2.31
office,19.0,holiday,medium,2,no,4.76,4.81,4.08,4.07
tourist_area,14.5,normal,medium,5,yes,4.77,6.03,5.86,5.47
market,19.8,normal,low,8,no,6.97,1.43,7.6,0.69
school,8.4,normal,medium,5,yes,3.43,4.82,3.62,5.44
residential,3.2,normal,medium,10,no,5.63,1.96,5.8,2.66
tourist_area,49.4,holiday,medium,12,no,5.01,6.22,5.19,5.76
residential,65.4,normal,low,8,no,4.25,0.99,4.49,1.57
tourist_area,105.7,holiday,low,8,no,6.32,3.72,5.84,3.3
school,109.5,normal,high,9,no,4.15,5.02,3.99,5.23
school,7.7,normal,medium,10,no,3.11,4.69,3.34,4.15
market,123.3,festival,low,6,no,10.26,1.93,11.07,1.93
residential,18.3,normal,medium,12,yes,5.94,3.48,5.29,3.35
residential,15.3,normal,medium,4,no,6.04,3.12,6.05,2.48
residential,27.0,normal,high,12,no,6.88,4.3,6.86,4.66
residential,20.3,normal,low,11,no,4.82,1.83,4.77,2.25
office,10.8,normal,low,3,no,3.55,2.56,2.92,2.53
market,24.6,normal,high,12,no,11.49,4.45,11.77,4.91
residential,33.2,normal,low,5,no,3.54,1.24,3.75,0.66
tourist_area,34.8,normal,low,6,no,2.8,3.93,3.68,2.98
tourist_area,18.8,normal,high,3,no,3.95,6.13,4.42,6.43
tourist_area,1.8,normal,medium,2,no,3.38,5.07,3.42,5.41
tourist_area,50.5,normal,medium,7,no,5.92,4.41,6.07,4.43
residential,24.7,normal,low,11,no,4.42,1.51,3.96,0.83
market,60.3,festival,low,5,no,11.37,1.03,12.56,1.19
office,201.5,normal,low,9,no,3.07,1.71,3.21,2.06
school,2.2,festival,high,3,no,3.56,5.76,4.14,7.24
residential,57.9,normal,medium,8,no,7.09,1.14,7.08,2.13
office,90.2,normal,high,6,no,5.7,4.76,5.04,5.06
residential,4.8,normal,high,4,no,8.41,2.89,8.44,3.13
residential,43.5,normal,medium,12,yes,5.74,4.15,6.25,3.98
market,40.9,normal,low,12,no,4.61,1.83,5.97,1.61
school,179.6,normal,medium,9,no,1.6,3.63,1.83,3.96
school,0.3,normal,high,5,no,6.21,5.0,4.48,4.87
residential,7.3,festival,high,10,no,12.22,3.22,11.24,3.98
office,153.3,normal,low,6,yes,1.14,3.36,1.79,2.97
residential,125.1,normal,medium,9,no,6.53,2.31,7.15,2.38
residential,214.5,holiday,medium,7,no,7.99,0.94,9.1,1.48
tourist_area,1.8,normal,high,12,no,5.87,7.58,6.04,7.63
tourist_area,27.3,normal,low,5,no,1.03,3.01,2.12,3.54
office,25.3,normal,medium,2,no,2.58,3.65,2.43,3.03
office,1.1,festival,high,4,no,6.3,4.86,6.91,4.53
school,21.6,holiday,medium,2,no,1.3,5.3,3.18,5.2
school,28.2,normal,medium,3,no,2.09,5.04,3.28,5.16
residential,6.4,normal,low,10,no,3.61,1.98,4.38,2.64
market,9.6,festival,medium,12,no,11.97,5.05,12.88,4.24
market,30.7,normal,medium,3,no,7.03,1.99,7.97,2.22
residential,19.0,normal,high,4,no,7.88,2.73,7.55,2.21
office,146.9,normal,medium,6,no,1.76,3.33,2.05,2.89
market,12.6,normal,medium,12,no,7.78,3.01,7.9,3.71
residential,9.3,normal,medium,3,no,2.55,2.27,3.69,2.34
residential,125.7,normal,low,10,no,4.06,1.93,3.15,1.64
school,72.6,normal,medium,1,no,3.53,5.05,2.96,4.86
residential,0.9,normal,high,1,yes,6.99,4.48,6.63,3.98
office,147.8,holiday,high,9,yes,6.08,4.88,6.83,5.89
market,60.0,normal,medium,9,no,10.04,2.85,9.42,2.78
market,0.8,normal,medium,5,no,7.25,4.35,8.29,3.45
school,60.7,normal,low,9,no,2.75,3.01,2.05,3.05
office,9.4,normal,high,11,yes,2.69,5.48,4.49,6.12
residential,155.6,normal,low,7,no,3.62,1.19,2.99,2.0
school,124.8,normal,high,9,no,3.55,3.53,3.92,3.89
school,119.9,holiday,medium,12,no,0.5,5.73,0.71,5.91
residential,122.4,festival,high,7,no,14.79,3.34,13.67,3.42
office,68.0,normal,high,9,no,3.81,4.06,4.19,3.79
office,36.0,normal,high,2,no,2.37,4.88,3.05,4.39
school,225.7,normal,low,11,no,2.99,1.6,2.73,1.62
office,37.2,holiday,medium,11,yes,2.78,5.38,3.48,4.98
office,151.0,holiday,medium,8,yes,3.91,4.6,3.99,4.84
office,295.2,normal,high,7,yes,4.17,3.9,4.84,4.34
office,34.1,normal,low,6,no,4.48,2.7,3.75,1.88
school,36.6,holiday,high,5,no,4.5,5.11,4.62,4.46
school,57.1,normal,high,4,no,4.22,4.56,3.93,4.18
school,265.1,normal,medium,7,yes,3.57,4.53,4.07,3.81
office,7.1,normal,high,3,no,4.02,3.94,4.01,4.03
residential,91.5,normal,medium,8,no,6.18,1.62,6.18,2.36
tourist_area,34.2,holiday,medium,2,no,5.1,4.7,4.79,4.94
office,8.5,festival,medium,1,yes,5.59,6.76,4.75,7.09
residential,27.5,normal,medium,11,yes,5.58,3.63,5.82,2.71
office,8.9,normal,high,2,no,4.22,4.56,4.72,4.43
residential,56.8,normal,medium,9,no,5.59,2.29,5.81,2.62
residential,17.5,normal,medium,5,no,5.6,1.78,5.08,2.39
office,22.6,normal,medium,11,no,2.18,3.96,3.0,3.71
residential,106.7,normal,high,8,no,6.35,3.47,6.8,3.58
office,20.4,normal,low,3,no,2.79,1.53,2.96,2.28
office,19.1,normal,high,7,no,4.81,5.18,4.59,4.27
market,5.2,normal,medium,2,no,7.19,2.37,7.59,2.82
residential,33.1,normal,medium,8,no,4.8,1.34,4.89,2.02
residential,72.6,normal,low,7,no,3.53,1.36,3.63,1.12
school,26.2,normal,medium,12,no,2.65,6.18,1.61,6.21
tourist_area,46.3,festival,high,5,no,11.06,6.91,11.14,6.86
school,5.6,normal,medium,12,no,1.41,4.76,2.02,4.75
residential,3.4,normal,high,11,no,7.81,3.73,7.64,3.07
school,41.5,holiday,low,4,yes,2.08,3.69,2.54,3.73
market,10.9,festival,medium,1,no,13.12,3.93,12.28,3.52
office,90.8,normal,high,5,no,5.44,3.85,5.67,3.8
residential,37.6,holiday,high,12,no,5.09,3.97,6.76,3.37
office,63.9,normal,low,9,yes,3.28,2.99,2.66,3.21
market,10.3,normal,medium,10,no,8.37,2.01,8.82,2.61
tourist_area,22.3,normal,low,4,no,4.4,3.53,4.59,3.91
residential,29.8,normal,medium,9,yes,6.37,2.72,6.11,2.59
school,3.8,normal,high,12,no,5.65,5.45,4.5,6.19
tourist_area,5.8,normal,high,2,no,7.13,6.97,6.79,6.83
residential,44.7,normal,low,4,no,2.63,0.96,2.27,1.31
tourist_area,102.8,normal,high,9,no,6.67,6.02,6.05,6.84
school,0.3,normal,medium,4,yes,3.18,6.25,2.55,5.31
residential,33.6,normal,medium,5,no,5.86,1.17,4.66,2.22
residential,16.5,normal,medium,11,no,5.71,3.83,6.09,3.53
office,111.9,holiday,medium,8,no,3.37,3.54,2.53,3.19
residential,7.2,holiday,medium,1,no,4.08,2.46,4.87,2.12
school,24.1,holiday,medium,1,no,2.32,3.68,2.99,3.71
residential,300.0,normal,medium,9,no,6.28,1.72,5.92,2.37
school,29.7,holiday,low,9,no,3.57,3.35,2.72,3.94
residential,10.0,normal,high,4,no,6.78,3.1,7.05,3.13
office,8.4,normal,medium,2,no,3.35,3.25,3.09,3.45
tourist_area,70.6,normal,low,9,no,3.42,3.26,4.14,3.55
tourist_area,14.3,normal,high,4,no,7.42,6.24,5.44,6.23
office,159.7,normal,high,6,no,7.39,2.79,5.83,3.72
residential,73.2,normal,high,12,no,6.36,3.36,6.77,3.61
office,6.8,holiday,medium,1,no,4.84,4.67,4.26,4.53
residential,23.5,normal,low,12,no,3.94,1.66,4.25,1.5
residential,130.9,normal,medium,9,no,6.49,0.71,6.29,0.95
residential,22.1,festival,low,5,no,6.79,1.89,6.57,0.55
market,17.1,normal,high,3,yes,13.63,4.57,13.17,5.15
office,6.4,normal,low,4,no,4.15,0.87,4.83,1.46
school,20.1,normal,medium,1,yes,3.2,3.77,3.93,4.18
market,108.2,normal,medium,9,yes,12.43,3.7,12.21,2.61
residential,106.9,normal,medium,8,no,5.18,1.24,5.52,1.33
tourist_area,43.3,normal,high,4,no,7.46,5.2,7.38,5.24
market,4.3,normal,medium,2,no,8.39,2.88,8.59,2.6
market,49.2,normal,low,9,no,5.87,1.34,6.56,1.74
residential,71.6,normal,medium,4,no,3.01,2.62,3.5,2.53
office,62.8,normal,medium,9,no,3.8,2.59,4.67,2.22
school,58.5,normal,low,10,no,1.42,2.37,1.78,1.95
residential,1.8,holiday,medium,3,no,6.24,2.82,7.23,2.23
residential,144.8,normal,medium,7,no,7.87,2.53,7.29,3.11
school,88.9,normal,high,7,no,3.98,4.1,3.87,4.84
school,59.1,normal,high,10,no,3.68,5.35,4.44,4.84
residential,3.1,normal,high,4,no,6.48,3.93,6.91,2.66
tourist_area,8.3,normal,high,2,yes,7.2,8.12,6.99,8.15
residential,15.7,normal,low,11,no,4.31,1.93,3.37,1.93
market,205.7,festival,low,9,yes,13.51,3.15,13.82,3.14
tourist_area,83.8,holiday,medium,4,yes,6.99,6.38,6.63,6.74
market,300.0,normal,high,8,no,14.04,3.14,13.86,3.27
school,96.0,holiday,high,2,no,4.63,6.1,3.98,5.49
market,24.4,normal,high,8,no,12.95,3.7,13.35,3.68
residential,1.5,normal,low,11,no,3.71,2.43,2.81,2.57
tourist_area,4.8,normal,high,10,no,4.2,7.01,4.88,6.45
market,12.9,normal,medium,5,yes,11.01,3.34,11.62,3.48
tourist_area,154.3,holiday,low,7,no,5.11,5.34,4.31,4.13
residential,239.2,normal,medium,7,no,5.67,1.97,6.02,2.85
residential,6.2,normal,low,12,no,3.88,1.43,3.38,1.09
residential,131.6,festival,medium,9,no,8.88,3.17,8.55,3.54
school,74.8,normal,medium,3,yes,2.85,4.5,3.85,3.81
market,18.7,normal,medium,10,no,9.02,2.6,7.91,3.58
office,3.3,normal,medium,4,no,2.94,2.92,3.48,2.59
market,18.4,holiday,high,10,no,13.95,4.32,13.73,4.46
tourist_area,14.1,holiday,medium,4,no,6.5,5.76,5.86,4.88
residential,25.9,normal,medium,10,no,4.66,1.91,4.18,1.56
office,17.3,normal,high,5,no,5.42,4.38,5.49,4.68
office,80.1,normal,high,6,no,3.37,2.52,3.81,3.59
office,153.5,holiday,low,3,yes,2.59,3.08,2.62,3.22
office,23.5,normal,medium,4,yes,3.99,3.61,3.96,4.13
office,19.3,normal,medium,3,no,3.25,3.01,2.99,3.66
school,92.8,festival,low,2,no,4.0,2.82,2.27,2.85
residential,5.1,normal,medium,10,yes,6.67,2.86,6.12,2.31
residential,6.3,normal,high,12,yes,6.66,4.7,7.57,4.63
tourist_area,164.9,normal,low,9,yes,6.39,4.17,4.73,3.68
school,9.1,festival,high,1,yes,6.21,8.26,5.35,8.6
office,48.2,normal,high,2,no,3.1,4.5,3.08,4.77
market,69.5,normal,high,8,no,13.96,3.71,13.32,3.22
residential,37.2,normal,medium,7,no,4.86,3.28,5.28,3.06
residential,21.8,normal,high,12,no,4.43,3.15,4.58,3.69
school,6.6,normal,medium,1,no,2.34,3.18,2.09,3.96
market,42.5,normal,medium,5,no,9.98,3.22,9.74,2.81
residential,30.7,festival,low,10,no,6.24,2.0,6.52,2.46
market,227.3,normal,low,6,no,7.06,1.6,8.09,1.87
residential,45.8,normal,high,5,no,6.81,3.08,6.94,3.3
school,6.0,normal,medium,4,no,2.7,3.4,3.8,4.33
residential,48.3,normal,medium,1,no,3.97,3.05,4.14,2.98
office,96.2,festival,low,7,no,4.66,3.47,4.98,2.81
residential,124.7,normal,medium,9,no,5.53,1.96,6.71,1.56
market,158.2,normal,low,6,no,10.35,1.82,9.35,2.29
residential,25.6,normal,high,3,no,7.87,3.08,6.48,3.27
residential,18.8,normal,low,10,yes,5.09,2.51,4.92,3.09
market,30.4,normal,low,4,no,7.15,1.57,6.62,0.84
market,10.6,normal,medium,10,no,8.5,3.06,8.41,3.44
school,6.0,holiday,medium,5,yes,3.32,4.99,4.74,4.94
residential,28.8,festival,medium,12,no,7.66,3.56,6.83,3.46
school,8.0,normal,medium,12,no,4.0,3.71,3.53,3.76
office,2.5,festival,high,1,yes,5.86,7.34,5.72,7.85
office,0.0,normal,medium,5,no,2.22,3.36,2.47,3.57
residential,28.1,normal,low,1,yes,5.11,1.18,5.15,1.13
market,82.6,normal,medium,9,no,8.3,2.6,8.92,2.71
residential,148.2,normal,high,7,no,8.19,3.11,8.09,3.2
residential,14.1,normal,medium,3,no,4.21,1.78,4.04,2.16
tourist_area,95.8,normal,low,9,no,3.9,3.45,4.02,3.79
